weeks,Manchester_City,Manchester_United,Liverpool,Brighton,Burnley,Tottenham_Hotspur,Arsenal,Bournemouth,Sheffield_United,Crystal_Palace,Everton,Leicester_City,Wolverhampton_Wanderers,Newcastle_United,Aston_Villa,Norwich_City,Southampton,Watford,Chelsea,West_Ham_United
matchweek 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
matchweek 2,3,4,1,5,10,6,2,7,8,14,9,12,13,18,17,11,19,20,15,16
matchweek 3,2,5,1,8,6,7,3,11,9,10,12,4,15,19,16,17,18,20,13,14
matchweek 4,2,8,1,16,12,9,5,15,10,4,6,3,17,14,18,19,13,20,11,7
matchweek 5,2,4,1,16,14,3,7,9,15,12,11,5,19,18,17,13,10,20,6,8
matchweek 6,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
matchweek 7,2,10,1,16,11,6,4,8,12,9,15,3,13,19,18,17,14,20,7,5
matchweek 8,2,12,1,14,7,9,3,10,13,6,18,4,11,16,15,19,17,20,5,8
matchweek 9,2,14,1,16,8,7,5,10,9,6,15,3,13,18,12,19,17,20,4,11
matchweek 10,2,7,1,14,13,11,5,9,8,6,16,3,12,17,15,19,18,20,4,10
matchweek 11,2,10,1,8,14,11,5,7,6,9,17,3,12,15,16,19,18,20,4,13
matchweek 12,4,7,1,11,10,14,6,9,5,12,15,2,8,13,17,20,19,18,3,16
matchweek 13,3,9,1,12,7,10,8,11,6,13,16,2,5,14,15,18,19,20,4,17
matchweek 14,3,9,1,16,10,5,8,12,7,11,17,2,6,14,15,19,18,20,4,13
matchweek 15,3,6,1,13,12,8,10,14,9,7,18,2,5,11,16,19,17,20,4,15
matchweek 16,3,5,1,12,13,7,9,15,8,10,14,2,6,11,17,19,18,20,4,16
matchweek 17,3,6,1,13,12,5,10,14,7,9,16,2,8,11,17,19,18,20,4,15
matchweek 18,3,8,1,13,10,7,11,14,5,12,15,2,6,9,18,19,17,20,4,16
matchweek 19,3,8,1,15,12,6,11,16,7,9,13,2,5,10,18,20,14,19,4,17
matchweek 20,3,5,1,14,13,6,12,16,8,9,10,2,7,11,18,20,15,19,4,17
matchweek 21,3,5,1,14,15,6,10,18,8,9,11,2,7,13,17,20,12,19,4,16
matchweek 22,2,5,1,14,15,8,10,19,6,9,11,3,7,13,18,20,12,17,4,16
matchweek 23,2,5,1,15,14,8,10,19,7,9,11,3,6,12,18,20,13,17,4,16
matchweek 24,2,5,1,15,13,6,10,18,8,11,12,3,7,14,16,20,9,19,4,17
matchweek 25,2,7,1,15,11,5,10,16,6,14,9,3,8,12,17,20,13,19,4,18
matchweek 26,2,7,1,15,11,5,10,16,6,14,9,3,8,13,17,20,12,19,4,18
matchweek 27,2,5,1,15,10,6,9,16,7,13,11,3,8,14,17,20,12,19,4,18
matchweek 28,2,5,1,15,9,7,10,18,8,12,11,3,6,14,19,20,13,17,4,16
matchweek 29,2,5,1,15,10,8,9,18,7,11,12,3,6,13,19,20,14,17,4,16
matchweek 30,2,5,1,15,11,8,10,18,7,9,12,3,6,13,19,20,14,16,4,17
matchweek 31,2,5,1,15,11,7,9,18,8,10,12,3,6,13,19,20,14,16,4,17
matchweek 32,2,5,1,15,10,9,8,19,7,12,11,3,6,13,18,20,14,17,4,16
matchweek 33,2,5,1,15,10,8,7,19,9,14,11,3,6,12,18,20,13,17,4,16
matchweek 34,2,5,1,15,10,9,8,18,7,14,11,4,6,13,19,20,12,17,3,16
matchweek 35,2,5,1,15,10,8,9,18,7,14,11,4,6,13,19,20,12,17,3,16
matchweek 36,2,5,1,16,10,7,9,18,8,14,11,4,6,13,19,20,12,17,3,15
matchweek 37,2,3,1,16,9,7,10,19,8,14,11,5,6,13,17,20,12,18,4,15
matchweek 38,2,3,1,15,10,6,8,18,9,14,12,5,7,13,17,20,11,19,4,16